year,FMSANAME,STATE,instrument,fbnonmex,ushisp,black,age0_14,age15_24,age25_39,age40_54,age55,employed,educ1,educ2,educ3,educ4,dfbnonmex,dushisp,dblack,dage0_14,dage15_24,dage25_39,dage40_54,dage55,demployed,deduc1,deduc2,deduc3,deduc4,popweight,dins,dmexfb_alt,dusbirths,logpc_murder,dlogpc_murder,logpc_rape,dlogpc_rape,logpc_robbery,dlogpc_robbery,logpc_assault,dlogpc_assault,logpc_burglary,dlogpc_burglary,logpc_larceny,dlogpc_larceny,logpc_motor,dlogpc_motor,grp_1,grp_2,grp_3,grp_4,grp_5,grp_6,grp_7,grp_8,grp_9,grp_10,grp_11,grp_12
1990,"Atlanta, Georgia",GA,194214.6406,0.046755057,0.010391505,0.284506202,0.224493131,0.143758267,0.292601138,0.195482284,0.143665195,0.708768666,0.315904349,0.242368743,0.229369417,0.151125759,1.956537962,0.228370547,0.018823445,-0.019416198,-0.033206642,0.017879486,0.03951402,-0.004770651,0.049660683,-0.139462382,-0.005814195,0.112155922,0.031327426,1781240,2.74374795,0.316465944,0.044912532,2.768003225,0.255393803,4.17987442,0.405465096,6.146050453,0.477508515,6.456040382,0.565124571,7.707366943,0.154530972,8.61392498,0.483438581,7.139973164,0.941666424,0,0,0,0,0,0,0,0,0,1,0,0
2.00E+03,"Atlanta, Georgia",GA,249355.625,0.080926992,0.02242207,0.309939653,0.24464035,0.123664379,0.256105185,0.223033562,0.152556524,0.685108006,0.303210914,0.284760356,0.175220415,0.163681403,3.417193413,1.203056574,0.025433451,0.020147219,-0.020093888,-0.036495954,0.027551278,0.008891329,-0.02366066,-0.012693435,0.042391613,-0.054149002,0.012555644,1781240,3.095651627,2.19339633,0.076688148,2.088679075,-0.181285828,2.961815834,-0.720020175,5.389564037,-0.258447945,5.791896343,-0.166105792,6.748478413,-0.46085003,7.978975296,-0.136911422,6.406870842,-0.235063776,0,0,0,0,0,0,0,0,1,0,0,0
1980,"Atlantic-Cape May, New Jersey",NJ,26119.38086,0.052708637,0.037126124,0.177134007,0.227333039,0.175696597,0.200132683,0.153582484,0.243255198,0.578777194,0.493323803,0.299117774,0.095612779,0.081187412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194040,NA,NA,NA,2.472599983,NA,4.046636105,NA,6.145040989,NA,6.05006218,NA,8.171879768,NA,9.104258537,NA,7.12157917,NA,0,0,0,0,0,0,0,0,0,0,1,0
1990,"Atlantic-Cape May, New Jersey",NJ,36371.01172,0.059098788,0.056032974,0.173507676,0.207831547,0.133332029,0.267622948,0.16494146,0.226272017,0.652326584,0.345080644,0.338239789,0.192405,0.092669748,0.639015079,1.890685081,-0.003626332,-0.019501492,-0.042364568,0.067490265,0.011358976,-0.016983181,0.07354939,-0.148243159,0.039122015,0.096792221,0.011482336,194040,5.283256531,0.114018671,0.041228611,2.333281994,0,4.285384178,0.378066123,6.101534843,0.095812313,6.595961571,0.685217917,7.777391911,-0.255169362,9.234056473,0.269116431,6.408606052,-0.573654771,0,0,0,0,0,0,0,0,0,0,0,1
2.00E+03,"Atlantic-Cape May, New Jersey",NJ,52504.46094,0.084170148,0.066553473,0.1364135,0.225239187,0.11000894,0.189045072,0.222684011,0.25302279,0.593113899,0.314846337,0.385812342,0.149857476,0.105345458,2.507136106,1.052049875,-0.037094176,0.017407641,-0.023323089,-0.078577876,0.057742551,0.026750773,-0.059212685,-0.030234307,0.047572553,-0.042547524,0.01267571,194040,8.314496994,0.909713328,0.008245722,1.611754537,-0.245122463,3.264677525,-0.544301569,5.02033186,-0.604798019,5.4476161,-0.671940684,6.663033962,-0.637953222,8.298308372,-0.459342629,5.273890495,-0.658310592,0,0,0,0,0,0,0,0,0,0,1,0
1980,"Austin-San Marcos, Texas",TX,64228.64063,0.034877364,0.161927819,0.098169103,0.235465959,0.217486113,0.275128573,0.126846328,0.145073026,0.675512314,0.397496015,0.218893692,0.13576144,0.153562486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,537560,NA,NA,NA,2.412474394,NA,3.61644721,NA,4.997728825,NA,5.419806004,NA,7.54807663,NA,8.43462944,NA,5.902394772,NA,0,0,0,0,1,0,0,0,0,0,0,0
1990,"Austin-San Marcos, Texas",TX,82926.10938,0.051497843,0.157776982,0.101030052,0.236148775,0.161407158,0.307527483,0.163076058,0.131840512,0.705088139,0.301068693,0.191546977,0.273039252,0.162554711,1.662047982,-0.415083766,0.002860948,6.83E-04,-0.056078956,0.032398909,0.03622973,-0.013232514,0.029575825,-0.096427321,-0.027346715,0.137277812,0.008992225,537560,3.478210688,1.305965662,2.436937332,2.158039331,0.032789823,3.83302331,0.503800988,5.409288883,0.69878453,5.905263901,0.772682846,7.706487656,0.445635796,8.781547546,0.634142578,6.491528034,0.876358032,0,0,0,0,0,1,0,0,0,0,0,0
2.00E+03,"Austin-San Marcos, Texas",TX,104449.3906,0.066691078,0.180927262,0.080534481,0.23700124,0.157684207,0.256911546,0.211110741,0.137292266,0.714438915,0.267609,0.236301333,0.21093823,0.19660756,1.519323468,2.315027952,-0.020495571,8.52E-04,-0.003722951,-0.050615937,0.048034683,0.005451754,0.009350777,-0.033459693,0.044754356,-0.062101021,0.034052849,537560,4.003884315,3.602602243,2.27397871,1.303993583,-0.365934283,3.80237484,0.457463086,4.62029171,-0.300885648,5.481238842,0.064086728,6.699100018,-0.519276202,8.104681015,-0.188754544,5.697581291,-0.305835277,0,0,0,0,1,0,0,0,0,0,0,0
1980,"Bakersfield, California",CA,63602.55078,0.0373642,0.156665653,0.053235967,0.268075138,0.181503981,0.219521716,0.147555605,0.18334356,0.580675364,0.488698274,0.276438534,0.127167985,0.06449189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402320,NA,NA,NA,3.038739204,NA,3.737821102,NA,5.582401276,NA,6.145884991,NA,7.848015785,NA,8.486758232,NA,6.512257099,NA,1,0,0,0,0,0,0,0,0,0,0,0
1990,"Bakersfield, California",CA,81254.89844,0.042816877,0.179753646,0.055597305,0.302917808,0.124626152,0.241260946,0.155539051,0.175656036,0.581057787,0.416722149,0.252714187,0.233546093,0.06991747,0.545267761,2.308799267,0.002361339,0.03484267,-0.056877829,0.02173923,0.007983446,-0.007687524,3.82E-04,-0.071976125,-0.023724347,0.106378108,0.00542558,402320,4.387638569,2.914084435,2.401073694,2.40444994,-0.336472243,3.608422756,0.168418646,5.286453247,0.001869159,6.377254486,0.529186368,7.382217407,-0.167981073,8.133954048,-0.054987259,6.24926424,0.034823976,0,1,0,0,0,0,0,0,0,0,0,0
2.00E+03,"Bakersfield, California",CA,99153.45313,0.043302979,0.238895729,0.059378181,0.317199945,0.148670927,0.176101282,0.182636335,0.17539151,0.546692193,0.394883186,0.325800419,0.176894709,0.069983751,0.048610196,5.914208412,0.003780875,0.014282137,0.024044774,-0.065159664,0.027097285,-2.65E-04,-0.034365594,-0.021838963,0.073086232,-0.056651384,6.63E-05,402320,4.448835373,4.506184101,4.17876339,1.737745881,-0.48342666,3.144107819,-0.281037539,4.616033077,-0.487143129,5.897051334,-0.296925843,6.810213566,-0.38872689,7.656930447,-0.293746591,6.00460434,-0.061382484,1,0,0,0,0,0,0,0,0,0,0,0
1980,"Beaumont-Port Arthur, Texas",TX,44577.96484,0.017335717,0.028062193,0.221926764,0.24657914,0.181208804,0.2167193,0.160600528,0.194892243,0.575766683,0.489817262,0.290838629,0.107364796,0.077770256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374120,NA,NA,NA,2.464783192,NA,3.643438101,NA,5.243037701,NA,6.036873341,NA,7.557836056,NA,8.054327965,NA,5.815484524,NA,0,0,0,0,1,0,0,0,0,0,0,0
1990,"Beaumont-Port Arthur, Texas",TX,58177.04297,0.025810096,0.03207501,0.242453307,0.242970765,0.129726857,0.234575227,0.167125985,0.225601181,0.554809868,0.386209667,0.30688256,0.213194191,0.067672394,0.847437978,0.401281744,0.020526543,-0.003608376,-0.051481947,0.017855927,0.006525457,0.030708939,-0.020956814,-0.103607595,0.016043931,0.105829395,-0.010097861,374120,3.634950876,0.244925126,0.326098591,2.37988162,-0.120627984,4.01962471,0.340460271,5.64583683,0.367072672,6.452190399,0.379590452,7.698881149,0.105318658,8.233262062,0.143208414,6.353072166,0.501861274,0,0,0,0,0,1,0,0,0,0,0,0
2.00E+03,"Beaumont-Port Arthur, Texas",TX,73348.13281,0.028094659,0.045776077,0.252774745,0.228122681,0.142297745,0.187550098,0.213550821,0.228478655,0.557368279,0.328011274,0.397174984,0.169019789,0.078031033,0.228456229,1.370106697,0.010321438,-0.014848083,0.012570888,-0.047025129,0.046424836,0.002877474,0.00255841,-0.058198392,0.090292424,-0.044174403,0.010358639,374120,4.055140018,1.319783449,0.335453868,1.605343699,-0.719122648,4.145701408,0.181492031,5.15314436,-0.43727693,5.712760448,-0.684014678,6.93882513,-0.704640806,7.968371868,-0.209475249,5.920724392,-0.376932502,0,0,0,0,1,0,0,0,0,0,0,0
1980,"Benton Harbor, Michigan",MI,41746.32031,0.033092517,0.008389653,0.149291679,0.266860396,0.173386604,0.213948414,0.152803004,0.193001568,0.559523821,0.507801056,0.293105751,0.093612485,0.067875713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174360,NA,NA,NA,1.746633172,NA,4.059168339,NA,5.199790478,NA,6.171479702,NA,7.645159721,NA,8.544350624,NA,5.748497009,NA,0,0,0,0,0,0,1,0,0,0,0,0
1990,"Benton Harbor, Michigan",MI,58770.02344,0.030400909,0.011995426,0.151973575,0.234782889,0.139740303,0.229835182,0.176226407,0.219415218,0.599894643,0.389515758,0.282143086,0.213645875,0.074847236,-0.269160807,0.360577375,0.002681896,-0.032077506,-0.0336463,0.015886769,0.023423404,0.026413649,0.040370822,-0.118285298,-0.010962665,0.120033391,0.006971523,174360,9.763537407,-0.015777675,0.011470521,2.40357852,0.587786674,4.791321278,0.662994146,4.874498844,-0.394450039,6.679472923,0.43883425,7.37184763,-0.342471004,8.380493164,-0.233015746,5.832174778,0.014519311,0,0,0,0,0,0,0,1,0,0,0,0
2.00E+03,"Benton Harbor, Michigan",MI,75182.63281,0.042154964,0.019600835,0.153903604,0.221368998,0.127919272,0.194763482,0.223437443,0.232510805,0.626314938,0.31365028,0.36315766,0.181091279,0.088635117,1.175405502,0.760540843,0.001930028,-0.013413891,-0.011821032,-0.035071701,0.047211036,0.013095587,0.026420295,-0.075865477,0.081014574,-0.032554597,0.013787881,174360,9.413059235,0.436564118,0.180087179,1.453154802,-0.944461584,4.180073261,-0.605285823,3.634379148,-1.234157801,5.764912128,-0.908598363,6.645317554,-0.720567644,7.770319462,-0.604211688,5.426138401,-0.400074273,0,0,0,0,0,0,1,0,0,0,0,0
1980,"Billings, Montana",MT,4868.500488,0.015687015,0.02948403,0.002122733,0.244114235,0.18950212,0.25144732,0.145889625,0.1690467,0.637050569,0.395749211,0.308182776,0.117534541,0.12369819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107660,NA,NA,NA,1.872102261,NA,3.360179186,NA,4.357008934,NA,4.608323097,NA,7.256597519,NA,8.361741066,NA,6.05959034,NA,0,0,1,0,0,0,0,0,0,0,0,0
1990,"Billings, Montana",MT,6062.374512,0.015432043,0.025061203,0.003965063,0.239780024,0.126013219,0.25853321,0.177947223,0.197726324,0.658136368,0.311259151,0.278811008,0.250210077,0.122128516,-0.025497191,-0.442282677,0.00184233,-0.004334211,-0.063488901,0.00708589,0.032057598,0.028679624,0.021085799,-0.084490061,-0.029371768,0.132675529,-0.001569673,107660,1.108929992,-0.033751164,0.613041043,2.186501265,0.356674939,3.439264297,0.121360853,3.872900248,-0.441832751,3.285113573,-1.280933857,7.001932621,-0.212389007,8.362160683,0.042695239,5.931288242,-0.086025864,0,0,0,1,0,0,0,0,0,0,0,0
2.00E+03,"Billings, Montana",MT,7253.29541,0.013859054,0.034862444,0.004800908,0.223080039,0.136833996,0.208928719,0.221028298,0.210128948,0.681303859,0.27547425,0.331698179,0.194238454,0.153858349,-0.157298893,0.980124056,8.36E-04,-0.016699985,0.010820776,-0.04960449,0.043081075,0.012402624,0.023167491,-0.0357849,0.052887172,-0.055971622,0.031729832,107660,1.106186986,0.080864824,0.521084905,0.441144109,-1.609437943,3.181984186,-0.121360853,4.052062035,0.31508106,5.396971226,2.247776747,6.341041565,-0.524971664,8.415848732,0.18960762,5.776275635,-0.019093659,0,0,1,0,0,0,0,0,0,0,0,0
1980,"Biloxi-Gulfport-Pascagoula, Mississippi",MS,1486.249512,0.035216924,0.017005892,0.198775902,0.25998053,0.199471414,0.220197529,0.152594239,0.167756289,0.555405378,0.487006009,0.286790699,0.115023836,0.075042285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276280,NA,NA,NA,2.119249582,NA,3.173410177,NA,4.794896126,NA,6.125792027,NA,7.385537624,NA,7.814736843,NA,5.649438858,NA,0,0,0,0,0,0,0,0,1,0,0,0
1990,"Biloxi-Gulfport-Pascagoula, Mississippi",MS,2174.969971,0.037016608,0.014482019,0.183867097,0.245867461,0.143206552,0.248182014,0.161854267,0.200889707,0.571710706,0.386836141,0.270153314,0.226812452,0.078135662,0.179968402,-0.252387285,-0.014908805,-0.014113069,-0.056264862,0.027984485,0.009260029,0.033133417,0.016305327,-0.100169867,-0.016637385,0.111788616,0.003093377,276280,0.249283507,0.008679813,0.123063557,1.686906695,-0.302280873,4.068629265,1.025281072,4.580541134,-0.084293246,5.26222229,-0.733507812,7.063545704,-0.191929862,7.661314964,-0.023360021,5.484376907,-0.035000332,0,0,0,0,0,0,0,0,0,1,0,0
2.00E+03,"Biloxi-Gulfport-Pascagoula, Mississippi",MS,3100.498535,0.03489048,0.015327143,0.215174988,0.234704882,0.13972345,0.21870999,0.210268989,0.196592689,0.606775105,0.329032272,0.348488778,0.195260584,0.083413512,-0.212612748,0.084512308,0.031307891,-0.011162579,-0.003483102,-0.029472023,0.048414722,-0.004297018,0.035064399,-0.057803869,0.078335464,-0.031551868,0.00527785,276280,0.334996581,0.225597307,0.118720137,1.9312222,0.2578291,3.102859497,-0.952255905,5.048769951,0.481742293,5.016047001,-0.232661515,7.196264744,0.146232545,8.404060364,0.756258905,5.854094982,0.383232087,0,0,0,0,0,0,0,0,1,0,0,0
1980,"Boston, Massachusetts-New Hampshire",MA,1599.338989,0.096286952,0.017343557,0.062969521,0.209524959,0.195730671,0.235703066,0.151236877,0.207804427,0.637955606,0.369486779,0.30474788,0.119967125,0.125442982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2339820,NA,NA,NA,1.871221423,NA,3.245935917,NA,6.102367878,NA,6.109894276,NA,7.691206932,NA,8.158896446,NA,7.446597099,NA,0,0,0,0,0,0,0,0,0,0,1,0
1990,"Boston, Massachusetts-New Hampshire",MA,1951.612427,0.120232657,0.025197448,0.063515998,0.191499993,0.144970402,0.279172122,0.175613716,0.208743766,0.674867213,0.246970743,0.268068314,0.208781198,0.174094737,2.394570351,0.785389185,5.46E-04,-0.018024966,-0.050760269,0.043469056,0.024376839,9.39E-04,0.036911607,-0.122516036,-0.036679566,0.088814072,0.048651755,2339820,0.015055578,0.041245651,0.020514399,1.842974424,0.106018193,3.307489157,0.195818529,5.767697334,-0.200405091,6.259816647,0.284187943,6.947628021,-0.609313488,7.912823677,-0.111807846,6.972873211,-0.339458853,0,0,0,0,0,0,0,0,0,0,0,1
2.00E+03,"Boston, Massachusetts-New Hampshire",MA,2270.692871,0.148789838,0.032536197,0.054780655,0.22052452,0.110456228,0.232547879,0.222619921,0.213851452,0.671139836,0.245572343,0.27632913,0.160287216,0.194057435,2.855718136,0.733874917,-0.008735344,0.029024526,-0.034514174,-0.046624243,0.047006205,0.005107686,-0.003727376,-0.001398399,0.008260816,-0.048493981,0.019962698,2339820,0.013636965,0.094033845,0.017992837,0.737634599,-0.867218852,2.886773109,-0.182595193,4.655835629,-0.873740852,5.790645599,-0.231050283,5.922262669,-0.78724438,7.367704868,-0.306997895,6.032989979,-0.701762319,0,0,0,0,0,0,0,0,0,0,1,0
1980,"Bremerton, WA",WA,1246.72168,0.0393322,0.018958688,0.016366612,0.258146107,0.167385802,0.252640963,0.135396525,0.186430588,0.567789674,0.383494347,0.330112994,0.148190603,0.080235794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146880,NA,NA,NA,-0.384445727,NA,3.507374525,NA,4.115364075,NA,5.092017651,NA,7.281307697,NA,7.972578526,NA,5.523637295,NA,1,0,0,0,0,0,0,0,0,0,0,0
1990,"Bremerton, WA",WA,1595.643555,0.047741935,0.029462365,0.018253369,0.251611888,0.12441805,0.263944775,0.189315021,0.170710281,0.633146107,0.301246673,0.261279851,0.290458918,0.102165274,0.840973496,1.050367713,0.001886757,-0.006534219,-0.042967752,0.011303812,0.053918496,-0.015720308,0.065356433,-0.082247674,-0.068833143,0.142268315,0.02192948,146880,0.237555742,0.077967882,0.24509804,1.315303445,1.945910096,3.974563599,0.713349879,3.93374157,0.064538524,5.162406921,0.316550046,6.818309307,-0.216837332,8.026696205,0.300278455,5.453892708,0.176416472,0,1,0,0,0,0,0,0,0,0,0,0
2.00E+03,"Bremerton, WA",WA,1952.665649,0.061352175,0.034608357,0.023944188,0.238126114,0.130024657,0.207091913,0.241557539,0.183199778,0.628859401,0.281252265,0.310637981,0.226728797,0.123026624,1.361024022,0.514599144,0.005690819,-0.013485774,0.005606607,-0.056852862,0.052242517,0.012489498,-0.004286706,-0.019994408,0.04935813,-0.063730121,0.02086135,146880,0.243070602,0.116047055,0.386029422,1.226508141,0.133531392,4.25301218,0.500775278,3.991253614,0.27983889,5.68230772,0.742227674,6.826780319,0.230797544,7.914551258,0.110181972,5.240636349,0.009070357,1,0,0,0,0,0,0,0,0,0,0,0
1980,"Brownsville-Harlingen-San Benito, Texas",TX,149630.375,0.026573028,0.589256883,0.003454026,0.367079556,0.185207248,0.182229638,0.111958072,0.153525487,0.542415977,0.629940271,0.184390098,0.090133637,0.062837645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212720,NA,NA,NA,2.135565281,NA,2.646390915,NA,4.338943481,NA,5.712892056,NA,7.448497295,NA,8.056548119,NA,6.456011772,NA,0,0,0,0,1,0,0,0,0,0,0,0
1990,"Brownsville-Harlingen-San Benito, Texas",TX,189221.3594,0.023349307,0.581518829,0.003134274,0.352241367,0.168724939,0.19158119,0.119841725,0.167610765,0.523510456,0.538952827,0.207742497,0.161885932,0.062986687,-0.322372079,-0.77380538,-3.20E-04,-0.014838189,-0.016482309,0.009351552,0.007883653,0.014085278,-0.01890552,-0.090987444,0.023352399,0.071752295,1.49E-04,212720,18.61178207,4.803347588,10.47386265,2.654453039,0.720546126,2.732414722,0.287682086,4.511595249,0.374309927,6.04204464,0.530810893,7.588732719,0.341893375,8.168426514,0.31353718,6.360083103,0.105729721,0,0,0,0,0,1,0,0,0,0,0,0
